test_case,username,password,task_app_acronym,task_name,task_description,task_notes,task_plan,expected_code
txn_plan_wrong_type,PL1,admin123!,zoo,txn plan wrong type,txn_plan_wrong_type,txn_plan_wrong_type,12345,D001
txn_acronym_too_long,PL1,admin123!,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Ae",txn acronym too long,txn_acronym_too_long,txn_acronym_too_long,Sprint 2,D001
txn_taskname_too_long,PL1,admin123!,zoo,Lorem ipsum dolor sit amet nconsectetuer adipiscing eliAeczxvzxcvzxcvczxvxczvxcz,txn_taskname_too_long,txn_taskname_too_long,Sprint 2,D001
txn_description_too_long,PL1,admin123!,zoo,txn description too long,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis,.",txn_description_too_long,Sprint 2,D001
txn_plan_too_long,PL1,admin123!,zoo,txn plan too long,txn_plan_too_long,txn_plan_too_long,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Ae",D001
txn_acronym_missing,PL1,admin123!,,txn acronym missing,txn_acronym_missing,txn_acronym_missing,Sprint 2,D001
txn_acronym_empty_string,PL1,admin123!,"",txn acronym empty string,txn_acronym_empty_string,txn_acronym_empty_string,Sprint 2,D001
txn_not_existing_plan,PL1,admin123!,zoo,txn not existing plan,txn_not_existing_plan,txn_not_existing_plan,Not an existing plan,D001
txn_taskname_missing,PL1,admin123!,zoo,,txn_taskname_missing,txn_taskname_missing,Sprint 2,D001
txn_taskname_empty_string,PL1,admin123!,zoo,"",txn_taskname_empty_string,txn_taskname_empty_string,Sprint 2,D001
txn_acronym_DNE,PL1,admin123!,this should not exist,txn acronym DNE,txn_acronym_DNE,txn_acronym_DNE,Sprint 2,D001
txn_taskname_invalid,PL1,admin123!,zoo,invalid!,txn_taskname_invalid,txn_taskname_invalid,Sprint 2,D001
txn_description_missing,PL1,admin123!,zoo,txn description missing,,txn_description_missing,Sprint 2,S000
txn_description_empty_string,PL1,admin123!,zoo,txn description empty string,"",txn_description_empty_string,Sprint 2,S000
txn_notes_missing,PL1,admin123!,zoo,txn notes missing,txn_notes_missing,,Sprint 2,S000
txn_notes_empty_string,PL1,admin123!,zoo,txn notes empty string,txn_notes_empty_string,"",Sprint 2,S000
txn_plans_missing,PL1,admin123!,zoo,txn plans missing,txn_plans_missing,txn_plans_missing,,S000
txn_plans_empty_string,PL1,admin123!,zoo,txn plans empty string,txn_plans_empty_string,txn_plans_empty_string,"",S000
pass_createtask,PL1,admin123!,zoo,pass createtask,pass_createtask,pass_createtask,Sprint 2,S000
